"Name","Example","Description","Type","Min","Max","Default"
"Distribution_Coverages","[link](../json/campaign-calendareventcoordinator_distribution_coverages.json)","A vector of floats for the fraction of individuals that will receive this intervention in a **CalendarEventCoordinator**.","array of floats","0","1","0"
"Distribution_Times","[link](../json/campaign-calendareventcoordinator_distribution_times.json)","A vector of integers for simulation times at which distribution of events occurs in a **CalendarEventCoordinator**. These times must be in ascending order.","array of integers","1","2.14748E+09","0"
"Intervention_Config","[link](../json/campaign-calendareventcoordinator_intervention_config.json)","The nested JSON of the actual intervention to be distributed by this event coordinator.","json object","NA","NA","NA"
"Node_Property_Restrictions","The following example restricts the intervention to nodes that are urban and medium risk or rural and low risk.
[link](../json/campaign-calendareventcoordinator_node_property_restrictions.json)","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.<br> <br> You can specify AND and OR combinations of key:value pairs with this parameter.","array of json objects","NA","NA","NA"
"Property_Restrictions","[link](../json/campaign-calendareventcoordinator_property_restrictions.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.","array of json objects","NA","NA","NA"
"Property_Restrictions_Within_Node","The following example restricts the intervention to individuals who are urban and high risk or urban and medium risk.
[link](../json/campaign-calendareventcoordinator_property_restrictions_within_node.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both.","array of json objects","NA","NA","NA"
"Target_Age_Max","[link](../json/campaign-calendareventcoordinator_target_age_max.json)","The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.","float","0","9.3228e+35","9.3228e+35"
"Target_Age_Min","[link](../json/campaign-calendareventcoordinator_target_age_min.json)","The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.","float","0","9.3228e+35","0"
"Target_Demographic","[link](../json/campaign-calendareventcoordinator_target_demographic.json)","The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState","enum","NA","NA","Everyone"
"Target_Gender","[link](../json/campaign-calendareventcoordinator_target_gender.json)","Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All","enum","NA","NA","All"
"Target_Residents_Only","[link](../json/campaign-calendareventcoordinator_target_residents_only.json)","When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).","boolean","0","1","0"
"Targeting_Config","[link](../json/campaign-calendareventcoordinator_targeting_config.json)","Be more selective of individuals by using the :doc:`parameter-campaign-targeting-config`.","json object","NA","NA","NA"
