"Name","Example","Type","Min","Max","Default","Description"
"Amount_In_Shipment","[link](../json/campaign-communityhealthworkereventcoordinator_amount_in_shipment.json)","integer","1","2147480000.0","2147480000.0","The number of interventions (such as vaccine doses) that a health worker or clinic receives in a shipment. Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**."
"Days_Between_Shipments","[link](../json/campaign-communityhealthworkereventcoordinator_days_between_shipments.json)","float","1","3.40282e+38","3.40E+38","The number of days to wait before a clinic or health worker receives a new shipment of interventions (such as vaccine doses). Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**."
"Demographic_Coverage","[link](../json/campaign-communityhealthworkereventcoordinator_demographic_coverage.json)","float","0","1","1","The fraction of individuals in the target demographic that will receive this intervention."
"Duration","[link](../json/campaign-communityhealthworkereventcoordinator_duration.json)","float","0","3.40282e+38","3.40E+38","The number of days for an event coordinator to be active before it expires."
"Initial_Amount_Constant","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_constant.json)","float","0","3.40282E+38","-1","The initial amount to use for all health workers when **Initial_Amount_Distribution** is set to CONSTANT_DISTRIBUTION."
"Initial_Amount_Distribution","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_distribution.json)","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the initial amount of interventions in stock. Each assigned value is a random draw from the distribution.<br> <br> Possible values are:<br> <br> NOT_INITIALIZED<br> No distribution set. <br> CONSTANT_DISTRIBUTION<br> Use the same value for each individual. Set **Initial_Amount_Constant**.<br> UNIFORM_DISTRIBUTION<br> Use a `uniform`_ distribution with a given minimum and maximum. Set **Initial_Amount_Max** and **Initial_Amount_Min**.<br> GAUSSIAN_DISTRIBUTION<br> The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Initial_Amount_Gaussian_Mean** and **Initial_Amount_Gaussian_Std_Dev**.<br> EXPONENTIAL_DISTRIBUTION<br> The distribution is `exponential`_ with a given mean. Set **Initial_Amount_Exponential**.<br> WEIBULL_DISTRIBUTION<br> Use a `Weibull`_ distribution with a given shape and scale. Set **Initial_Amount_Kappa** and **Initial_Amount_Lambda**.<br> LOG_NORMAL_DISTRIBUTION<br> Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Initial_Amount_Log_Normal_Mu** and **Initial_Amount_Log_Normal_Sigma**.<br> POISSON_DISTRIBUTION<br> Use a `Poisson`_ distribution with a given mean. Set **Initial_Amount_Poisson_Mean**. <br> DUAL_CONSTANT_DISTRIBUTION<br> Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Initial_Amount_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br> DUAL_EXPONENTIAL_DISTRIBUTION<br> Use two `exponential`_ distributions with given means. Set **Initial_Amount_Mean_1**, **Initial_Amount_Mean_2**, and **Initial_Amount_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br> <br> .. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br> <br> .. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br> <br> .. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br> <br> .. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br> <br> .. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br> <br> .. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution"
"Initial_Amount_Exponential","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_exponential.json)","float","0","3.40282E+38","-1","The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to EXPONENTIAL_DISTRIBUTION."
"Initial_Amount_Gaussian_Mean","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_gaussian_mean.json)","float","0","3.40282E+38","-1","The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION."
"Initial_Amount_Gaussian_Std_Dev","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_gaussian_std_dev.json)","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION."
"Initial_Amount_Kappa","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_kappa.json)","float","1.17549E-38","3.40282E+38","-1","The shape value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION."
"Initial_Amount_Lambda","[link](../json/campaign-communityhealthworkereventcoordinator_initial_amount_lambda.json)","float","1.17549E-38","3.40282E+38","-1","The scale value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION."
