"Name","Example","Description","Type","Min","Max","Default"
"Coordinator_Name","[link](../json/campaign-delayeventcoordinator_coordinator_name.json)","The unique identifying coordinator name, which is useful with the output report, ReportCoordinatorEventRecorder.csv.","string","NA","NA","DelayEventCoordinator"
"Delay_Complete_Event","[link](../json/campaign-delayeventcoordinator_delay_complete_event.json)","The delay completion event to be included in the ReportCoordinatorEventRecorder.csv output report, upon completion of the delay period.","string","NA","NA","NA"
"Delay_Period_Constant","[link](../json/campaign-delayeventcoordinator_delay_period_constant.json)","The delay period to use for all interventions, in days, when **Delay_Period_Distribution** is set to CONSTANT_DISTRIBUTION.","float","0","3.40282E+38","-1"
"Delay_Period_Distribution","[link](../json/campaign-delayeventcoordinator_delay_period_distribution.json)","The distribution type to use for assigning the delay period for distributing interventions. Each assigned value is a random draw from the distribution.<br> <br> Possible values are:<br> <br> NOT_INITIALIZED<br> No distribution set. <br> CONSTANT_DISTRIBUTION<br> Use the same value for each individual. Set **Delay_Period_Constant**.<br> UNIFORM_DISTRIBUTION<br> Use a `uniform`_ distribution with a given minimum and maximum. Set **Delay_Period_Max** and **Delay_Period_Min**.<br> GAUSSIAN_DISTRIBUTION<br> The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Delay_Period_Gaussian_Mean** and **Delay_Period_Gaussian_Std_Dev**.<br> EXPONENTIAL_DISTRIBUTION<br> The distribution is `exponential`_ with a given mean. Set **Delay_Period_Exponential**.<br> WEIBULL_DISTRIBUTION<br> Use a `Weibull`_ distribution with a given shape and scale. Set **Delay_Period_Kappa** and **Delay_Period_Lambda**.<br> LOG_NORMAL_DISTRIBUTION<br> Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Delay_Period_Log_Normal_Mu** and **Delay_Period_Log_Normal_Sigma**.<br> POISSON_DISTRIBUTION<br> Use a `Poisson`_ distribution with a given mean. Set **Delay_Period_Poisson_Mean**. <br> DUAL_CONSTANT_DISTRIBUTION<br> Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Delay_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br> DUAL_EXPONENTIAL_DISTRIBUTION<br> Use two `exponential`_ distributions with given means. Set **Delay_Period_Mean_1**, **Delay_Period_Mean_2**, and **Delay_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br> <br> <br> .. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br> <br> .. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br> <br> .. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br> <br> .. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br> <br> .. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br> <br> .. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution","enum","NA","NA","NOT_INITIALIZED"
"Delay_Period_Exponential","[link](../json/campaign-delayeventcoordinator_delay_period_exponential.json)","The mean of the delay period, in days, when **Delay_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.","float","0","3.40282E+38","-1"
"Delay_Period_Gaussian_Mean","[link](../json/campaign-delayeventcoordinator_delay_period_gaussian_mean.json)","The mean of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.","float","0","3.40282E+38","-1"
"Delay_Period_Gaussian_Std_Dev","[link](../json/campaign-delayeventcoordinator_delay_period_gaussian_std_dev.json)","The standard deviation of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.","float","1.17549E-38","3.40282E+38","-1"
"Delay_Period_Kappa","[link](../json/campaign-delayeventcoordinator_delay_period_kappa.json)","The shape value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.","float","1.17549E-38","3.40282E+38","-1"
"Delay_Period_Lambda","[link](../json/campaign-delayeventcoordinator_delay_period_lambda.json)","The scale value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.","float","1.17549E-38","3.40282E+38","-1"
"Delay_Period_Log_Normal_Mu","[link](../json/campaign-delayeventcoordinator_delay_period_log_normal_mu.json)","The mean of the natural log of the delay period, in days, when **Delay_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.","float","-3.40282e+38","1.70141e+38","3.40282e+38"
"Delay_Period_Log_Normal_Sigma","[link](../json/campaign-delayeventcoordinator_delay_period_log_normal_sigma.json)","The standard deviation of the natural log of the delay period, in days, when **Delay_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.","float","-3.40282e+38","1.70141e+38","3.40282E+38"
"Delay_Period_Max","[link](../json/campaign-delayeventcoordinator_delay_period_max.json)","The maximum time delay period (in days). This is required if **Delay_Distribution** is UNIFORM_DURATION. This must be greater than or equal to **Delay_Period_Min**.","float","0","3.40282E+38","-1"
"Delay_Period_Mean_1","[link](../json/campaign-delayeventcoordinator_delay_period_mean_1.json)","The mean of the first exponential distribution, in days, when **Delay_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.","float","1.17549E-38","3.40282E+38","-1"
