"Name","Example","Description","Type","Min","Max","Default"
"Cost_To_Consumer","[link](../json/campaign-hivartstagingbycd4diagnostic_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Disqualifying_Properties","[link](../json/campaign-hivartstagingbycd4diagnostic_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-hivartstagingbycd4diagnostic_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"If_Active_TB","[link](../json/campaign-hivartstagingbycd4diagnostic_if_active_tb.json)","If the individual's CD4 is not below the threshold in the **Threshold** table and the individual has TB (via their **IndividualProperties**), then the individual's CD4 will be compared to the CD4 value retrieved from the **InterpolatedValueMap** matrix based on the current year.","json object","NA","NA","NA"
"If_Pregnant","[link](../json/campaign-hivartstagingbycd4diagnostic_if_pregnant.json)","If the individual does not pass the diagnostic from the **Threshold** or TB matrices, and the individual is pregnant, then the individual's CD4 is compared to the value found in the **InterpolatedValueMap matrix**.","json object","NA","NA","NA"
"Individual_Property_Active_TB_Key","[link](../json/campaign-hivartstagingbycd4diagnostic_individual_property_active_tb_key.json)","The **IndividualProperty** key ('HasActiveTB') used to determine whether the individual has TB.","string","NA","NA","UNINITIALIZED"
"Individual_Property_Active_TB_Value","[link](../json/campaign-hivartstagingbycd4diagnostic_individual_property_active_tb_value.json)","The **IndividualProperty** value ('Yes') used to determine whether the individual has TB.","string","NA","NA","UNINITIALIZED"
"Intervention_Name","[link](../json/campaign-hivartstagingbycd4diagnostic_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","HIVARTStagingByCD4Diagnostic"
"Negative_Diagnosis_Event","[link](../json/campaign-hivartstagingbycd4diagnostic_negative_diagnosis_event.json)","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"New_Property_Value","[link](../json/campaign-hivartstagingbycd4diagnostic_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
"Positive_Diagnosis_Event","[link](../json/campaign-hivartstagingbycd4diagnostic_positive_diagnosis_event.json)","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"Threshold","[link](../json/campaign-hivartstagingbycd4diagnostic_threshold.json)","If the individual's CD4 has ever been below the threshold specified, then the test will be positive.","json object","NA","NA","NA"
"Times","[link](../json/campaign-hivartstagingbycd4diagnostic_times.json)","An array of years to match the defined **Values**; used with parameters **If_Active_TB**, **If_Pregnant**, and **Threshold**.","array of floats","0","999999","[]"
"Values","[link](../json/campaign-hivartstagingbycd4diagnostic_values.json)","An array of values to match the defined **Times**; used with parameters **If_Active_TB**, **If_Pregnant**, and **Threshold**.","array of floats","0","3.40282e+38","[]"
