"Name","Example","Description","Type","Min","Max","Default"
"Cost_To_Consumer","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Default_Value","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_default_value.json)","The probability of positive diagnosis if the intervention is used before the earliest specified time in the **Time_Value_Map**.","float","0","1","0"
"Disqualifying_Properties","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Female_Multiplier","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_female_multiplier.json)","Allows for the probabilities in the **Time_Value_Map** to be different for males and females, by multiplying the female probabilities by a constant value.","float","0","3.40282e+38","1"
"Interpolation_Order","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_interpolation_order.json)","When set to zero, interpolation between values in the **Time_Value_Map** is zero-order ('staircase'). When set to 1, interpolation between values in the **Time_Value_Map** is linear. The final value is held constant for all times after the last time specified in the **Time_Value_Map**.","integer","0","1","0"
"Intervention_Name","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","HIVPiecewiseByYearAndSexDiagnostic"
"Negative_Diagnosis_Event","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_negative_diagnosis_event.json)","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"New_Property_Value","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
"Positive_Diagnosis_Event","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_positive_diagnosis_event.json)","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"Time_Value_Map","[link](../json/campaign-hivpiecewisebyyearandsexdiagnostic_time_value_map.json)","The years (times) and matching probabilities for test results. This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years. This creates a JSON structure containing one array of **Times** and one for **Values**, which allows for a time-variable probability that can take on any shape over time. When queried at a simulation year corresponding to one of the listed **Times**, it returns the corresponding **Value**. When queried earlier than the first listed **Time**, it returns the default **Value**. When queried in between listed **Times**, it either returns the **Value** for the most recent past time (when Interpolation_Order is 0) or linearly interpolates Values between **Times** (when Interpolation_Order is 1). When queried after the last **Time** in the list, it returns the last **Value**. The **Times** and **Values** must be of equal length, and can consist of a single value. **Times** must monotonically increase.","json object","NA","NA","NA"
