"Name","Type","Min","Max","Default","Description","Example"
"Base_Sensitivity","float","0","1","1","The sensitivity of the diagnostic. This sets the proportion of the time that individuals with the condition being tested receive a positive diagnostic test.
When set to 1, the diagnostic always accurately reflects the condition. When set to zero, then individuals who have the condition always receive a false-negative diagnostic test.","[link](../json/campaign-hivrapidhivdiagnostic_base_sensitivity.json)"
"Base_Specificity","float","0","1","1","The specificity of the diagnostic. This sets the proportion of the time that individuals without the condition being tested receive a negative diagnostic test. When set to 1, the diagnostic always accurately reflects the lack of having the condition. When set to zero, then individuals who do not have the condition always receive a false-positive diagnostic test.","[link](../json/campaign-hivrapidhivdiagnostic_base_specificity.json)"
"Cost_To_Consumer","float","0","3.40282e+38","1","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","[link](../json/campaign-hivrapidhivdiagnostic_cost_to_consumer.json)"
"Days_To_Diagnosis","float","0","3.40282e+38","0","The number of days from diagnosis (which is done when the intervention is distributed) until a positive response is performed. The response to a negative diagnosis is done immediately when the diagnosis is made (at distribution of the intervention).","[link](../json/campaign-hivrapidhivdiagnostic_days_to_diagnosis.json)"
"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","[link](../json/campaign-hivrapidhivdiagnostic_disqualifying_properties.json)"
"Dont_Allow_Duplicates","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","[link](../json/campaign-hivrapidhivdiagnostic_dont_allow_duplicates.json)"
"Enable_Is_Symptomatic","boolean","0","1","0","If true (1), requires an infection to be symptomatic to return a positive test.","[link](../json/campaign-hivrapidhivdiagnostic_enable_is_symptomatic.json)"
"Intervention_Name","string","NA","NA","HIVRapidHIVDiagnostic","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","[link](../json/campaign-hivrapidhivdiagnostic_intervention_name.json)"
"Negative_Diagnosis_Event","enum","NA","NA","""""","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","[link](../json/campaign-hivrapidhivdiagnostic_negative_diagnosis_event.json)"
"New_Property_Value","string","NA","NA","""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ","[link](../json/campaign-hivrapidhivdiagnostic_new_property_value.json)"
"Positive_Diagnosis_Event","enum","NA","NA","""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","[link](../json/campaign-hivrapidhivdiagnostic_positive_diagnosis_event.json)"
"Probability_Received_Result","float","0","1","1","The probability that an individual received the results of a diagnostic test.","[link](../json/campaign-hivrapidhivdiagnostic_probability_received_result.json)"
"Sensitivity_Type","enum","NA","NA","SINGLE_VALUE","Set to SINGLE_VALUE (default) to use the single value of **Base_Sensitivity** or VERSUS_TIME to have sensitivity be based on the duration since the person became infected, **Sensitivity_Versus_Time**.","[link](../json/campaign-hivrapidhivdiagnostic_sensitivity_type.json)"
"Sensitivity_Versus_Time","array of floats","","","[]","The 'Times' values are the duration from when the person became infected. 'Values' is the sensitivity of the diagnostic for the given age of the infection.","[link](../json/campaign-hivrapidhivdiagnostic_sensitivity_versus_time.json)"
