"Name","Example","Description","Type","Min","Max","Default"
"Cost_To_Consumer","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Disqualifying_Properties","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Female_Multiplier","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_female_multiplier.json)","Allows for the sigmoid time-varying probability to be different for males and females, by multiplying the female probability by a constant value.","float","0","3.40282e+38","1"
"Intervention_Name","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","HIVSigmoidByYearAndSexDiagnostic"
"Negative_Diagnosis_Event","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_negative_diagnosis_event.json)","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"New_Property_Value","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
"Positive_Diagnosis_Event","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_positive_diagnosis_event.json)","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"Ramp_Max","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_ramp_max.json)","The right asymptote for the sigmoid trend over time.","float","-1","1","1"
"Ramp_MidYear","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_ramp_midyear.json)","The time of the infection point in the sigmoid trend over time.","float","-3.40282e+38","3.40282e+38","2000"
"Ramp_Min","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_ramp_min.json)","The left asymptote for the sigmoid trend over time.","float","-1","1","1"
"Ramp_Rate","[link](../json/campaign-hivsigmoidbyyearandsexdiagnostic_ramp_rate.json)","The slope of the inflection point in the sigmoid trend over time. A Rate of 1 sets the slope to a 25% change in probability per year.","float","0","1","1"
