"Name","Type","Min","Max","Default","Description","Example"
"Actual_NodeIntervention_Config","json object","NA","NA","NA","The configuration of the actual node-level intervention sought. This parameter selects a class for the intervention and configures the parameters specific for that intervention class.","[link](../json/campaign-nlhtivnode_actual_nodeintervention_config.json)"
"Blackout_Event_Trigger","string","NA","NA","""","The node event to broadcast if an intervention cannot be distributed due to the **Blackout_Period**. Custom events can be added; currently the only built-in value is SheddingComplete.","[link](../json/campaign-nlhtivnode_blackout_event_trigger.json)"
"Blackout_On_First_Occurence","boolean","0","1","0","If set to true (1), nodes enter the blackout period after the first occurence of a node event in the **Trigger_Condition_List**.","[link](../json/campaign-nlhtivnode_blackout_on_first_occurence.json)"
"Blackout_Period","float","0","3.40E+38","0","The time in days after the initial intervention distribution to wait before distributing the intervention again. If the intervention is not distributable due to the blackout period, it broadcasts the user-defined **Blackout_Event_Trigger**.","[link](../json/campaign-nlhtivnode_blackout_period.json)"
"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). Generally used to stop this intervention immediately based on some other event. See :ref:`demo-properties` parameters for more information.","[link](../json/campaign-nlhtivnode_disqualifying_properties.json)"
"Dont_Allow_Duplicates","boolean","0","1","0","If a node's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","[link](../json/campaign-nlhtivnode_dont_allow_duplicates.json)"
"Duration","float","-1","3.40E+38","-1","The number of days to continue this intervention. A value of -1 keeps the intervention running indefinitely.","[link](../json/campaign-nlhtivnode_duration.json)"
"Intervention_Name","string","NA","NA","NLHTIVNode","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","[link](../json/campaign-nlhtivnode_intervention_name.json)"
"New_Property_Value","string","NA","NA","""""","An optional **NodeProperty** key:value pair that will be assigned when the intervention is first updated or applied. See :ref:`demo-properties` parameters for more information.","[link](../json/campaign-nlhtivnode_new_property_value.json)"
"Node_Property_Restrictions","json object","NA","NA","NA","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that are required for nodes to be targeted by the intevention. See :ref:`demo-properties` parameters for more information.","[link](../json/campaign-nlhtivnode_node_property_restrictions.json)"
"Trigger_Condition_List","array of strings","NA","NA","[ ]","A list of node events that tigger **NLHTIVNode** to distribute the intervention defined in **Actual_NodeIntervention_Config**. Currently the only built-in value is SheddingComplete. Custom events may be defined in **Custom_Node_Events** in the simulation configuration file.","[link](../json/campaign-nlhtivnode_trigger_condition_list.json)"
