"Name","Example","Type","Min","Max","Default","Description"
"Actual_IndividualIntervention_Config","[link](../json/campaign-nodelevelhealthtriggerediv_actual_individualintervention_config.json)","json object","NA","NA","NA","The configuration of an actual individual intervention to be distributed on the trigger. Selects a class for the intervention and configures the parameters specific for that intervention class."
"Actual_NodeIntervention_Config","[link](../json/campaign-nodelevelhealthtriggerediv_actual_nodeintervention_config.json)","json object","NA","NA","NA","The configuration of the actual node-level intervention sought. This parameter selects a class for the intervention and configures the parameters specific for that intervention class."
"Blackout_Event_Trigger","[link](../json/campaign-nodelevelhealthtriggerediv_blackout_event_trigger.json)","enum","NA","NA","""""","The event to broadcast if an intervention cannot be distributed due to the **Blackout_Period**. See :doc:`parameter-campaign-event-list` for possible values."
"Blackout_On_First_Occurrence","[link](../json/campaign-nodelevelhealthtriggerediv_blackout_on_first_occurrence.json)","boolean","0","1","0","If set to true (1), individuals will enter the blackout period after the first occurrence of an event in the **Trigger_Condition_List**."
"Blackout_Period","[link](../json/campaign-nodelevelhealthtriggerediv_blackout_period.json)","float","0","3.40282e+38","0","After the initial intervention distribution, the time, in days, to wait before distributing the intervention again. If it cannot distribute due to the blackout period, it will broadcast the user-defined **Blackout_Event_Trigger**."
"Demographic_Coverage","[link](../json/campaign-nodelevelhealthtriggerediv_demographic_coverage.json)","float","0","1","1","The fraction of individuals in the target demographic that will receive this intervention."
"Disqualifying_Properties","[link](../json/campaign-nodelevelhealthtriggerediv_disqualifying_properties.json)","array of strings","NA","NA","[]","A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
"Distribute_On_Return_Home","[link](../json/campaign-nodelevelhealthtriggerediv_distribute_on_return_home.json)","boolean","0","1","0","When set to true (1), individuals will receive an intervention upon returning home if that intervention was originally distributed while the individual was away."
"Dont_Allow_Duplicates","[link](../json/campaign-nodelevelhealthtriggerediv_dont_allow_duplicates.json)","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
"Duration","[link](../json/campaign-nodelevelhealthtriggerediv_duration.json)","float","-1","3.40282e+38","-1","The number of days the NLHTIV will exist and listen for events/triggers. Note: Specifying a value of -1 results in indefinite persistence of the intervention."
"Intervention_Name","[link](../json/campaign-nodelevelhealthtriggerediv_intervention_name.json)","string","NA","NA","NodeLevelHealthTriggeredIV","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class."
"New_Property_Value","[link](../json/campaign-nodelevelhealthtriggerediv_new_property_value.json)","string","NA","NA","""""","An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information."
"Node_Property_Restrictions","The following example restricts the intervention to nodes that are urban and medium risk or rural and low risk.
[link](../json/campaign-nodelevelhealthtriggerediv_node_property_restrictions.json)","array of json objects","NA","NA","NA","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.<br> <br> You can specify AND and OR combinations of key:value pairs with this parameter."
"Property_Restrictions","[link](../json/campaign-nodelevelhealthtriggerediv_property_restrictions.json)","array of json objects","NA","NA","NA","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
"Property_Restrictions_Within_Node","The following example restricts the intervention to individuals who are urban and high risk or urban and medium risk.
[link](../json/campaign-nodelevelhealthtriggerediv_property_restrictions_within_node.json)","array of json objects","NA","NA","NA","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both."
"Target_Age_Max","[link](../json/campaign-nodelevelhealthtriggerediv_target_age_max.json)","float","0","9.32E+35","9.32E+35","The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
