"Name","Example","Description","Type","Min","Max","Default"
"End_Year","[link](../json/campaign-referencetrackingeventcoordinatorhiv_end_year.json)","The final date (year) at which this set of targeted coverages should be applied (expiration).","float","1900","2200","2200"
"Intervention_Config","[link](../json/campaign-referencetrackingeventcoordinatorhiv_intervention_config.json)","The nested JSON of the actual intervention to be distributed by this event coordinator.","json object","NA","NA","NA"
"Node_Property_Restrictions","The following example restricts the intervention to nodes that are urban and medium risk or rural and low risk.
[link](../json/campaign-referencetrackingeventcoordinatorhiv_node_property_restrictions.json)","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.<br> <br> You can specify AND and OR combinations of key:value pairs with this parameter.","array of json objects","NA","NA","NA"
"Property_Restrictions","[link](../json/campaign-referencetrackingeventcoordinatorhiv_property_restrictions.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.","array of json objects","NA","NA","NA"
"Property_Restrictions_Within_Node","The following example restricts the intervention to individuals who are urban and high risk or urban and medium risk.
[link](../json/campaign-referencetrackingeventcoordinatorhiv_property_restrictions_within_node.json)","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both.","array of json objects","NA","NA","NA"
"Target_Age_Max","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_age_max.json)","The upper end of ages targeted for an intervention, in years.","float","0","9.3228e+35","9.3228e+35"
"Target_Age_Min","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_age_min.json)","The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.","float","0","9.3228e+35","0"
"Target_Demographic","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_demographic.json)","The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState","enum","NA","NA","Everyone"
"Target_Disease_State","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_disease_state.json)","An array of particular disease states used in the **ReferenceTrackingEventCoordinatorHIV**. <br> Possible values are: <br> <br> * Everyone<br> * HIV_Positive <br> * HIV_Negative <br> * Tested_Positive <br> * Tested_Negative <br> * Not_Tested_Or_Tested_Negative","array of strings","NA","NA","Everyone"
"Target_Gender","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_gender.json)","Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All","enum","NA","NA","All"
"Target_Residents_Only","[link](../json/campaign-referencetrackingeventcoordinatorhiv_target_residents_only.json)","When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).","boolean","0","1","0"
"Targeting_Config","[link](../json/campaign-referencetrackingeventcoordinatorhiv_targeting_config.json)","Be more selective of individuals by using the :doc:`parameter-campaign-targeting-config`.","json object","NA","NA","NA"
"Time_Value_Map","[link](../json/campaign-referencetrackingeventcoordinatorhiv_time_value_map.json)","The years (times) and matching values of coverages. This parameter uses InterpolatedValueMap to create a JSON structure containing one array of **Times** and one for **Values**, which allows for a time-variable probability that can take on any shape over time. When queried at a simulation year corresponding to one of the listed **Times**, it returns the corresponding **Value**. The **Times** and **Values** must be of equal length, and can consist of a single value. **Times** must monotonically increase.","json object","NA","NA","NA"
"Update_Period","[link](../json/campaign-referencetrackingeventcoordinatorhiv_update_period.json)","The time between distribution updates.","float","1","3650","365"
