"Name","Type","Min","Max","Default","Description","Example"
"Cost_To_Consumer","float","0","999999","10","Determines the unit cost when using the **STIBarrier** intervention to change defaults from demographics. Note that there is no cost for condoms distributed using demographics-configured default usage probabilities.","[link](../json/campaign-stibarrier_cost_to_consumer.json)"
"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","[link](../json/campaign-stibarrier_disqualifying_properties.json)"
"Dont_Allow_Duplicates","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","[link](../json/campaign-stibarrier_dont_allow_duplicates.json)"
"Early","float","0","1","1","The left asymptote for the sigmoid trend over time.
The **Early** value must be smaller than the **Late** value.","[link](../json/campaign-stibarrier_early.json)"
"Intervention_Name","string","NA","NA","STIBarrier","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","[link](../json/campaign-stibarrier_intervention_name.json)"
"Late","float","0","1","1","The right asymptote for the sigmoid trend over time.
The **Late** value must be larger than the **Early** value.","[link](../json/campaign-stibarrier_late.json)"
"MidYear","float","0","1","1","The time of the inflection point in the sigmoid trend over time.","[link](../json/campaign-stibarrier_midyear.json)"
"New_Property_Value","string","NA","NA","""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ","[link](../json/campaign-stibarrier_new_property_value.json)"
"Rate","float","0","1","1","The slope of the inflection point in the sigmoid trend over time. A Rate of 1 sets the slope to a 25% change in probability per year. Specify a negative Rate (e.g. -1) to achieve a negative sigmoid.","[link](../json/campaign-stibarrier_rate.json)"
"Relationship_Type","enum","NA","NA","TRANSITORY","The relationship type to which the condom usage probability is applied. Possible values are:

* TRANSITORY
* INFORMAL
* MARITAL","[link](../json/campaign-stibarrier_relationship_type.json)"
"Usage_Duration_Constant","float","0","3.40282E+38","6","Each instance will receive this constant/fixed value.","[link](../json/campaign-stibarrier_usage_duration_constant.json)"
"Usage_Duration_Distribution","enum","NA","NA","NOT_INITIALIZED","For the distribution of each **STIBarrier**, a randomly selected duration from this distribution will determine when the man stops using the intervention and revert back to condom usage based on the relationship type. Possible values are:

* NOT_INITIALIZED
* CONSTANT_DISTRIBUTION
* UNIFORM_DISTRIBUTION
* GAUSSIAN_DISTRIBUTION
* EXPONENTIAL_DISTRIBUTION
* POISSON_DISTRIBUTION
* LOG_NORMAL_DISTRIBUTION
* DUAL_CONSTANT_DISTRIBUTION
* WEIBULL_DISTRIBUTION
* DUAL_EXPONENTIAL_DISTRIBUTION","[link](../json/campaign-stibarrier_usage_duration_distribution.json)"
"Usage_Duration_Exponential","float","0","3.40282E+38","6","The mean for an exponential distribution.","[link](../json/campaign-stibarrier_usage_duration_exponential.json)"
"Usage_Duration_Gaussian_Mean","float","0","3.40282E+38","6","The mean for a Gaussian distribution.","[link](../json/campaign-stibarrier_usage_duration_gaussian_mean.json)"
"Usage_Duration_Gaussian_Std_Dev","float","1.17549E-38","3.40282E+38","1","The standard deviation for a Gaussian distribution.","[link](../json/campaign-stibarrier_usage_duration_gaussian_std_dev.json)"
"Usage_Duration_Kappa","float","1.17549E-38","3.40282E+38","1","The shape value in a Weibull distribution.","[link](../json/campaign-stibarrier_usage_duration_kappa.json)"
"Usage_Duration_Lambda","float","1.17549E-38","3.40282E+38","1","The scale value in a Weibull distribution.","[link](../json/campaign-stibarrier_usage_duration_lambda.json)"
"Usage_Duration_Log_Normal_Mu","float","-3.40282E+38","3.40282E+38","6","The mean for a log-normal distribution.","[link](../json/campaign-stibarrier_usage_duration_log_normal_mu.json)"
"Usage_Duration_Log_Normal_Sigma","float","-3.40282E+38","3.40282E+38","1","The width for a log-normal distribution.","[link](../json/campaign-stibarrier_usage_duration_log_normal_sigma.json)"
"Usage_Duration_Max","float","0","3.40282E+38","1","The maximum of the uniform distribution.","[link](../json/campaign-stibarrier_usage_duration_max.json)"
"Usage_Duration_Mean_1","float","1.17549E-38","3.40282E+38","1","The mean of the first exponential distribution.","[link](../json/campaign-stibarrier_usage_duration_mean_1.json)"
"Usage_Duration_Mean_2","float","1.17549E-38","3.40282E+38","1","The mean of the second exponential distribution.","[link](../json/campaign-stibarrier_usage_duration_mean_2.json)"
"Usage_Duration_Min","float","0","3.40282E+38","0","The minimum of the uniform distribution.","[link](../json/campaign-stibarrier_usage_duration_min.json)"
"Usage_Duration_Peak_2_Value","float","0","3.40282E+38","1","The value to assign to the remaining individuals.","[link](../json/campaign-stibarrier_usage_duration_peak_2_value.json)"
"Usage_Duration_Poisson_Mean","float","0","3.40282E+38","6","The mean for a Poisson distribution.","[link](../json/campaign-stibarrier_usage_duration_poisson_mean.json)"
"Usage_Duration_Proportion_0","float","0","1","1","The proportion of individuals to assign a value of zero.","[link](../json/campaign-stibarrier_usage_duration_proportion_0.json)"
"Usage_Duration_Proportion_1","float","0","1","1","The proportion of individuals in the first exponential distribution.","[link](../json/campaign-stibarrier_usage_duration_proportion_1.json)"
"Usage_Expiration_Event","string","NA","NA","""""","When the person stops using the STIBarrier, this event will be broadcasted. See :doc:`parameter-campaign-event-list` for possible values (note: not all built-in events are applicable), or use a custom event defined in the **Custom_Individudual_Events** list in the config file.","[link](../json/campaign-stibarrier_usage_expiration_event.json)"
