"Name","Example","Description","Type","Min","Max","Default"
"Cost_To_Consumer","[link](../json/campaign-stiispostdebut_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Disqualifying_Properties","[link](../json/campaign-stiispostdebut_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-stiispostdebut_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Event_Or_Config","[link](../json/campaign-stiispostdebut_event_or_config.json)","Specifies whether the current intervention (or a positive diagnosis, depending on the intervention class) distributes a nested intervention (the Config option) or an event will be broadcast which may trigger other interventions in the campaign file (the Event option). <br> Possible values are:<br> <br> * Event<br> * Config","enum","NA","NA","Config"
"Intervention_Name","[link](../json/campaign-stiispostdebut_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","STIIsPostDebut"
"Negative_Diagnosis_Config","[link](../json/campaign-stiispostdebut_negative_diagnosis_config.json)","If **Event_Or_Config** is set to 'Config', this is the intervention given out when there is a negative diagnosis.","json object","NA","NA","NA"
"Negative_Diagnosis_Event","[link](../json/campaign-stiispostdebut_negative_diagnosis_event.json)","The name of the event to broadcast when an individual is found to NOT be Post-Debut age. **Event_or_Config** must be set to Event. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
"New_Property_Value","[link](../json/campaign-stiispostdebut_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
"Positive_Diagnosis_Config","[link](../json/campaign-stiispostdebut_positive_diagnosis_config.json)","The intervention distributed to individuals if they test positive. Only used if **Event_Or_Config** is set to 'Config'.","json object","NA","NA","NA"
"Positive_Diagnosis_Event","[link](../json/campaign-stiispostdebut_positive_diagnosis_event.json)","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. Only used if **Event_Or_Config** is set to Event. See :doc:`parameter-campaign-event-list` for possible values.","enum","NA","NA",""""""
