"Name","Example","Type","Min","Max","Default","Description"
"Completion_Event","[link](../json/campaign-triggeredeventcoordinator_completion_event.json)","array of strings","NA","NA","NA","The completion event list that will be broadcast every time the triggered event coordinator completes a set of repetitions. The events contained in the list are defined in **Custom_Coordinator_Events** in the simulation configuration file."
"Coordinator_Name","[link](../json/campaign-triggeredeventcoordinator_coordinator_name.json)","string","NA","NA","TriggeredEventCoordinator","The unique identifying coordinator name used to identify the different coordinators in reports."
"Demographic_Coverage","","float","0","1","1","The fraction of individuals in the target demographic that will receive this intervention."
"Duration","[link](../json/campaign-triggeredeventcoordinator_duration.json)","float","-1","3.40282e+38","-1","The time period (in days) that the triggered event coordinator is active before it expires. Once the specified duration has been reached the coordinator will expire whether or not it is in the  middle of a set of repetitions. The value of -1 (default) equals to never expire."
"Individual_Selection_Type","","enum","NA","NA","DEMOGRAPHIC_COVERAGE","Defines how the people that pass all of the other target restrictions are selected.<br> <br> Possible values are:<br> <br> DEMOCGRAPHIC_COVERAGE<br> When set, the parameter **Demographic_Coverage** is used to randomly select a certain percentage of the targeted group.<br> TARGET_NUM_INDIVIDUALS<br> When set, the parameter **Target_Num_Individuals** is used to select exactly that number of people out of the targeted group."
"Intervention_Config","[link](../json/campaign-triggeredeventcoordinator_intervention_config.json)","json object","NA","NA","NA","The nested JSON of the intervention to be distributed by this event coordinator."
"Node_Property_Restrictions","The following configuration restrictions the intervention to nodes that are urban and high risk or have had the first round treatment and are low risk.
[link](../json/campaign-triggeredeventcoordinator_node_property_restrictions.json)","array of json objects","NA","NA","NA","A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information. You can specify AND and OR combinations of key:value pairs with this parameter."
"Number_Repetitions","[link](../json/campaign-triggeredeventcoordinator_number_repetitions.json)","integer","-1","10000","1","The number of times an intervention is given, used with **Timesteps_Between_Repetitions**. A value of -1 implies an infinite number of repetitions."
"Property_Restrictions","[link](../json/campaign-triggeredeventcoordinator_property_restrictions.json)","array of json objects","NA","NA","NA","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
"Property_Restrictions_Within_Node","The following example restricts the intervention to individuals who are urban and high risk or urban and medium risk.
[link](../json/campaign-triggeredeventcoordinator_property_restrictions_within_node.json)","array of json objects","NA","NA","NA","A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both."
"Start_Trigger_Condition_List","[link](../json/campaign-triggeredeventcoordinator_start_trigger_condition_list.json)","array of strings","NA","NA","NA","The trigger condition event list that when heard will start a new set of repetitions for the triggered event coordinator. The list cannot be empty. The events contained in the list are defined in **Custom_Coordinator_Events** in the simulation configuration file."
"Stop_Trigger_Condition_List","[link](../json/campaign-triggeredeventcoordinator_stop_trigger_condition_list.json)","array of strings","NA","NA","NA","The trigger condition event list that when heard will stop any repetitions for the triggered event coordinator until a start trigger condition event list is received. The list can be empty. The events contained in the list are defined in **Custom_Coordinator_Events** in the simulation configuration file."
"Target_Age_Max","[link](../json/campaign-triggeredeventcoordinator_target_age_max.json)","float","0","9.3228e+35","9.3228e+35","The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
"Target_Age_Min","[link](../json/campaign-triggeredeventcoordinator_target_age_min.json)","float","0","9.3228e+35","0","The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
"Target_Demographic","[link](../json/campaign-triggeredeventcoordinator_target_demographic.json)","enum","NA","NA","Everyone","The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState"
"Target_Gender","[link](../json/campaign-triggeredeventcoordinator_target_gender.json)","enum","NA","NA","All","Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All"
"Target_Num_Individuals","","integer","0","2147480000.0","1","The exact number of people to select out of the targeted group. **Individual_Selection_Type** must be set to TARGET_NUM_INDIVIDUALS."
"Target_Residents_Only","[link](../json/campaign-triggeredeventcoordinator_target_residents_only.json)","boolean","0","1","0","When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
"Targeting_Config","[link](../json/campaign-triggeredeventcoordinator_targeting_config.json)","json object","NA","NA","NA","Be more selective of individuals by using the :doc:`parameter-campaign-targeting-config`."
"Timesteps_Between_Repetitions","[link](../json/campaign-triggeredeventcoordinator_timesteps_between_repetitions.json)","integer","-1","10000","-1","The repetition interval."
