"Name","Example","Type","Min","Max","Default","Description"
"Incubation_Period_Constant","[link](../json/config-incubation-hiv_incubation_period_constant.json)","float","0","3.40282E+38","-1","The incubation period, in days, to use for all individuals when **Incubation_Period_Distribution** is set to CONSTANT_DISTRIBUTION."
"Incubation_Period_Distribution","[link](../json/config-incubation-hiv_incubation_period_distribution.json)","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the incubation period to each individual in the population. Each individual's value is a random draw from the distribution.<br> <br> Possible values are:<br> <br> NOT_INITIALIZED<br> No distribution set. <br> CONSTANT_DISTRIBUTION<br> Use the same value for each individual. Set **Incubation_Period_Constant**.<br> UNIFORM_DISTRIBUTION<br> Use a `uniform`_ distribution with a given minimum and maximum. Set **Incubation_Period_Max** and **Incubation_Period_Min**.<br> GAUSSIAN_DISTRIBUTION<br> The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Incubation_Period_Gaussian_Mean** and **Incubation_Period_Gaussian_Std_Dev**.<br> EXPONENTIAL_DISTRIBUTION<br> The distribution is `exponential`_ with a given mean. Set **Incubation_Period_Exponential**.<br> WEIBULL_DISTRIBUTION<br> Use a `Weibull`_ distribution with a given shape and scale. Set **Incubation_Period_Kappa** and **Incubation_Period_Lambda**.<br> LOG_NORMAL_DISTRIBUTION<br> Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Incubation_Period_Log_Normal_Mu** and **Incubation_Period_Log_Normal_Sigma**.<br> POISSON_DISTRIBUTION<br> Use a `Poisson`_ distribution with a given mean. Set **Incubation_Period_Poisson_Mean**. <br> DUAL_CONSTANT_DISTRIBUTION<br> Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Incubation_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br> DUAL_EXPONENTIAL_DISTRIBUTION<br> Use two `exponential`_ distributions with given means. Set **Incubation_Period_Mean_1**, **Incubation_Period_Mean_2**, and **Incubation_Period_Proportion_1**. This distribution does not use the parameters set for DUAL_EXPONENTIAL_DISTRIBUTION.<br> <br> .. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br> <br> .. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br> <br> .. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br> <br> .. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br> <br> .. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br> <br> .. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution"
"Incubation_Period_Exponential","[link](../json/config-incubation-hiv_incubation_period_exponential.json)","float","0","3.40282E+38","-1","The mean incubation period, in days, when **Incubation_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION."
"Incubation_Period_Gaussian_Mean","[link](../json/config-incubation-hiv_incubation_period_gaussian_mean.json)","float","0","3.40282E+38","-1","The mean of the incubation period, in days, when **Incubation_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
"Incubation_Period_Gaussian_Std_Dev","[link](../json/config-incubation-hiv_incubation_period_gaussian_std_dev.json)","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the incubation period, in days, when **Incubation_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION."
"Incubation_Period_Kappa","[link](../json/config-incubation-hiv_incubation_period_kappa.json)","float","1.17549E-38","3.40282E+38","-1","The shape value for the incubation period, in days, when **Incubation_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
"Incubation_Period_Lambda","[link](../json/config-incubation-hiv_incubation_period_lambda.json)","float","1.17549E-38","3.40282E+38","-1","The scale value for the incubation period, in days, when **Incubation_Period_Distribution** is set to WEIBULL_DISTRIBUTION."
"Incubation_Period_Log_Normal_Mu","[link](../json/config-incubation-hiv_incubation_period_log_normal_mu.json)","float","-3.40282e+38","1.70141e+38","3.40282e+38","The mean of the natural log of the incubation period, in days, when **Incubation_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
"Incubation_Period_Log_Normal_Sigma","[link](../json/config-incubation-hiv_incubation_period_log_normal_sigma.json)","float","1.17549E-38","3.40282E+38","1","The standard deviation of the natural log of the incubation period, in days, when **Incubation_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
"Incubation_Period_Max","[link](../json/config-incubation-hiv_incubation_period_max.json)","float","0","3.40282E+38","-1","The maximum incubation period, in days, when **Incubation_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
"Incubation_Period_Mean_1","[link](../json/config-incubation-hiv_incubation_period_mean_1.json)","float","1.17549E-38","3.40282E+38","-1","The mean of the first exponential distribution, in days, when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
"Incubation_Period_Mean_2","[link](../json/config-incubation-hiv_incubation_period_mean_2.json)","float","1.17549E-38","3.40282E+38","-1","The mean of the second exponential distribution, in days, when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
"Incubation_Period_Min","[link](../json/config-incubation-hiv_incubation_period_min.json)","float","0","3.40282E+38","-1","The minimum incubation period, in days, when **Incubation_Period_Distribution** is set to UNIFORM_DISTRIBUTION."
"Incubation_Period_Peak_2_Value","[link](../json/config-incubation-hiv_incubation_period_peak_2_value.json)","float","0","3.40282E+38","-1","The incubation period value, in days, to assign to the remaining individuals when **Incubation_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
"Incubation_Period_Poisson_Mean","[link](../json/config-incubation-hiv_incubation_period_poisson_mean.json)","float","0","3.40282E+38","-1","The mean of the incubation period, in days, when **Incubation_Period_Distribution** is set to POISSON_DISTRIBUTION."
"Incubation_Period_Proportion_0","[link](../json/config-incubation-hiv_incubation_period_proportion_0.json)","float","0","1","-1","The proportion of individuals to assign a value of zero days incubation when **Incubation_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
"Incubation_Period_Proportion_1","[link](../json/config-incubation-hiv_incubation_period_proportion_1.json)","float","0","1","-1","The proportion of individuals in the first exponential distribution when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
