"Name","Example","Description","Type","Min","Max","Default"
"ART_CD4_at_Initiation_Saturating_Reduction_in_Mortality","[link](../json/config-mortality-hiv_art_cd4_at_initiation_saturating_reduction_in_mortality.json)","The duration from ART enrollment to on-ART HIV-caused death increases with CD4 at ART initiation up to a threshold determined by this parameter value.","float","0","3.40E+38","350"
"Base_Mortality","[link](../json/config-mortality-hiv_base_mortality.json)","The base mortality of the infection before accounting for individual immune modification factors. Depending on the setting of **Mortality_Time_Course**, this is either the daily probability of the disease being fatal (DAILY_MORTALITY) or the probability of death at the end of the infection duration (MORTALITY_AFTER_INFECTIOUS). **Enable_Disease_Mortality** must be set to 1 (true).","float","0","1000","0.001"
"Days_Between_Symptomatic_And_Death_Weibull_Heterogeneity","[link](../json/config-mortality-hiv_days_between_symptomatic_and_death_weibull_heterogeneity.json)","The time between the onset of AIDS symptoms and death is sampled from a Weibull distribution; this parameter governs the heterogeneity (inverse shape) of the Weibull.","float","0.1","10","1"
"Days_Between_Symptomatic_And_Death_Weibull_Scale","[link](../json/config-mortality-hiv_days_between_symptomatic_and_death_weibull_scale.json)","The time between the onset of AIDS symptoms and death is sampled from a Weibull distribution; this parameter governs the scale of the Weibull.","float","1","3650","183"
"Death_Rate_Dependence","[link](../json/config-mortality-hiv_death_rate_dependence.json)","Determines how likely individuals are to die from natural, non-disease causes. **Enable_Natural_Mortality** must be set to 1. Possible values are:<br> <br> NOT_INITIALIZED<br> The daily mortality rate is 0, and no one dies from non-disease related causes.<br> NONDISEASE_MORTALITY_BY_AGE_AND_GENDER<br> The individual's age and gender are taken into account to determine the daily mortality rate.<br> NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER<br> Gender, age, and year, are all taken into account to determine the daily mortality rate. <br> <br> Properties, rates, and bin sizes can be set for non-disease mortality for each gender in the demographics file (see :ref:`demo-complexdistro` parameters).","enum","NA","NA","NOT_INITIALIZED"
"Enable_Natural_Mortality","[link](../json/config-mortality-hiv_enable_natural_mortality.json)","Controls whether or not individuals are removed from the simulation due to natural (non-disease) deaths. **Enable_Vital_Dynamics** must be set to 1 (true). Use **Death_Rate_Dependence** to set the natural death rate.","boolean","0","1","0"
"HIV_Adult_Survival_Scale_Parameter_Intercept","[link](../json/config-mortality-hiv_hiv_adult_survival_scale_parameter_intercept.json)","This parameter determines the intercept of the scale parameter, ?, for the Weibull distribution used to determine HIV survival time.<br> <br> Survival time with untreated HIV infection depends on the age of the individual at the time of infection, and is drawn from a Weibull distribution with shape parameter (see **HIV_Adult_Survival_Shape_Parameter**)  and scale parameter, ?. The scale parameter is allowed to vary linearly with age as follows: <br> <br> $\\lambda$ = **HIV_Adult_Survival_Scale_Parameter_Intercept** + **HIV_Adult_Survival_Scale_ Parameter_Slope** * Age (in years).","float","0.001","1000","21.182"
"HIV_Adult_Survival_Scale_Parameter_Slope","[link](../json/config-mortality-hiv_hiv_adult_survival_scale_parameter_slope.json)","This parameter determines the slope of the scale parameter, ?, for the Weibull distribution used to determine HIV survival time.<br> <br> Survival time with untreated HIV infection depends on the age of the individual at the time of infection, and is drawn from a Weibull distribution with shape parameter (see **HIV_Adult_Survival_Shape_Parameter**) and scale parameter, ?. The scale parameter is allowed to vary linearly with age as follows: <br> <br> $\\lambda$ = **HIV_Adult_Survival_Scale_Parameter_Intercept** + **HIV_Adult_Survival_Scale_ Parameter_Slope** * Age (in years). <br> <br> Because survival time with HIV becomes shorter with increasing age, **HIV_Adult_Survival_Scale_ Parameter_Slope** should be set to a negative number.","float","-1000","1000","-0.2717"
"HIV_Adult_Survival_Shape_Parameter","[link](../json/config-mortality-hiv_hiv_adult_survival_shape_parameter.json)","This parameter determines the shape of the Weibull distribution used to determine age-dependent survival time for individuals infected with HIV.","float","0.001","1000","2"
"HIV_Age_Max_for_Adult_Age_Dependent_Survival","[link](../json/config-mortality-hiv_hiv_age_max_for_adult_age_dependent_survival.json)","Survival time with untreated HIV infection depends on the age of the individual at the time of infection, and is drawn from a Weibull distribution with shape parameter and scale parameter, ?. See **HIV_Adult_Survival_Scale_Parameter_Intercept**, **HIV_Adult_Survival_Scale_ Parameter_Slope**, and **HIV_Adult_Survival_Shape_Parameter**. <br> <br> Although the scale parameter for survival time declines with age, it cannot become negative. To avoid negative survival times at older ages, this parameter, **HIV_Age_Max_for_Adult_Age_Dependent_Survival**,  determines the age beyond which HIV survival is no longer affected by further aging.","float","0","75","70"
"HIV_Age_Max_for_Child_Survival_Function","[link](../json/config-mortality-hiv_hiv_age_max_for_child_survival_function.json)","The maximum age at which an individual's survival will be fit to the child survival function. If the value of this parameter falls between zero and the age of sexual debut, model results are not sensitive to this parameter as there is no mechanism for children to become infected between infancy and sexual debut.","float","0","75","15"
"HIV_Child_Survival_Rapid_Progressor_Fraction","[link](../json/config-mortality-hiv_hiv_child_survival_rapid_progressor_fraction.json)","The proportion of HIV-infected children who are rapid HIV progressors.","float","0","1","0.57"
"HIV_Child_Survival_Rapid_Progressor_Rate","[link](../json/config-mortality-hiv_hiv_child_survival_rapid_progressor_rate.json)","The exponential decay rate, in years, describing the distribution of HIV survival for children who are rapid progressors.","float","0","1000","1.52"
"HIV_Child_Survival_Slow_Progressor_Scale","[link](../json/config-mortality-hiv_hiv_child_survival_slow_progressor_scale.json)","The Weibull scale parameter describing the distribution of HIV survival for children who are slower progressors.","float","0.001","1000","16"
"HIV_Child_Survival_Slow_Progressor_Shape","[link](../json/config-mortality-hiv_hiv_child_survival_slow_progressor_shape.json)","The Weibull shape parameter describing the distribution of HIV survival for children who are slower progressors.","float","0.001","1000","2.7"
"Mortality_Time_Course","[link](../json/config-mortality-hiv_mortality_time_course.json)","The method used to calculate disease deaths. **Enable_Disease_Mortality** must be set to 1.<br> <br> Possible values are: <br> <br> DAILY_MORTALITY <br> Calculated at every time step. <br> MORTALITY_AFTER_INFECTIOUS <br> Calculated once at the end of the disease duration.","enum","NA","NA","DAILY_MORTALITY"
"x_Other_Mortality","[link](../json/config-mortality-hiv_x_other_mortality.json)","Scale factor for mortality from causes other than the disease being simulated. Base mortality is provided by the demographics file (see :ref:`demo-complexdistro` parameters). **Enable_Natural_Mortality** must be set to 1.","float","0","3.40E+38","1"
