"Name","Example","Description","Type","Min","Max","Default"
"Age_Initialization_Distribution_Type","[link](../json/config-population-hiv_age_initialization_distribution_type.json)","The method for initializing the age distribution in the simulated population. Possible values are: <br> <br> DISTRIBUTION_OFF<br> All individuals default to age 20 years old. <br> DISTRIBUTION_SIMPLE<br> Individual ages are drawn from a distribution whose functional form is specified in the demographics file using the **IndividualAttributes** simple **Age** distribution parameters. <br> DISTRIBUTION_COMPLEX<br> Individual ages are drawn from a piecewise linear function specified in the demographics file complex distribution parameters.","enum","NA","NA","DISTRIBUTION_OFF"
"Birth_Rate_Boxcar_Forcing_Amplitude","[link](../json/config-population-hiv_birth_rate_boxcar_forcing_amplitude.json)","Fractional increase in birth rate during high birth season when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.","float","0","3.40E+38","0"
"Birth_Rate_Boxcar_Forcing_End_Time","[link](../json/config-population-hiv_birth_rate_boxcar_forcing_end_time.json)","Day of the year when the high birth rate season ends when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.","float","0","365","0"
"Birth_Rate_Boxcar_Forcing_Start_Time","[link](../json/config-population-hiv_birth_rate_boxcar_forcing_start_time.json)","Day of the year when the high birth rate season begins when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.","float","0","365","0"
"Birth_Rate_Dependence","[link](../json/config-population-hiv_birth_rate_dependence.json)","The method used to modify the value set in **BirthRate** in the demographics file (see :ref:`demo-nodeattributes` parameters). Possible values are: <br> <br> NONE<br> Births are not allowed during the simulation, even if **Enable_Birth** is set to true (1). <br> FIXED_BIRTH_RATE<br> The absolute rate at which new individuals are born, as set by **BirthRate**. <br> POPULATION_DEP_RATE<br> Scales the node population to determine the birth rate. If **BirthRate** is greater than 0.005, a value of 2% per year (0.02/365) is used instead.  <br> DEMOGRAPHIC_DEP_RATE<br> Scales the female population within fertility age ranges (15-44 years) to determine the birth rate. If **BirthRate** is greater than 0.005, a value of 1 child every 8 years of fertility [1/8/365(~0.000342)] is used instead. <br> INDIVIDUAL_PREGNANCIES<br> Scales the female population within fertility age ranges (15-44 years) to determine the birth rate, but pregnancies are assigned on an individual basis and result in a 40-week pregnancy for a specific individual with a birth at the end.<br> INDIVIDUAL_PREGNANCIES_BY_AGE_AND_YEAR<br> Similar to INDIVIDUAL_PREGNANCIES, but determines the rate based on the **FertilityDistribution** (in **IndividualAttributes**), using the individual's age and the year of the simulation.","enum","NA","NA","FIXED_BIRTH_RATE"
"Birth_Rate_Sinusoidal_Forcing_Amplitude","[link](../json/config-population-hiv_birth_rate_sinusoidal_forcing_amplitude.json)","The amplitude of sinusoidal variations in birth rate when **Birth_Rate_Time_Dependence** is set to SINUSOIDAL_FUNCTION_OF_TIME.","float","0","1","0"
"Birth_Rate_Sinusoidal_Forcing_Phase","[link](../json/config-population-hiv_birth_rate_sinusoidal_forcing_phase.json)","The phase of sinusoidal variations in birth rate. **Birth_Rate_Time_Dependence** must be set to SINUSOIDAL_FUNCTION_OF_TIME.","float","0","365","0"
"Birth_Rate_Time_Dependence","[link](../json/config-population-hiv_birth_rate_time_dependence.json)","A scale factor for **BirthRate** that allows it to be altered by time or season. **Enable_Birth** must be set to true (1). Possible values are:<br> <br> NONE<br> Birth rate does not vary by time.<br> SINUSOIDAL_FUNCTION_OF_TIME<br> Allows birth rate to be time-dependent, following a sinusoidal shape defined by $1 + \\sin \\text{Birth\\_Rate\\_Sinusoidal\\_Forcing\\_Amplitude} \\times \\sin(2 \\pi \\times (\\text{day} - \\sin \\text{Birth\\_Rate\\_Sinusoidal\\_Forcing\\_Phase})/365)$. Set **Birth_Rate_Sinusoidal_Forcing_Amplitude** and **Birth_Rate_Sinusoidal_Forcing_Phase**. <br> ANNUAL_BOXCAR_FUNCTION<br> Allows birth rate to follow a boxcar function. The scale factor will be equal to 1 except for a single interval in which it is equal to a given constant equal to 1 + **Birth_Rate_Boxcar_Forcing_Amplitude**. Set **Birth_Rate_Boxcar_Forcing_Amplitude**, **Birth_Rate_Boxcar_Forcing_End_Time**, and **Birth_Rate_Boxcar_Forcing_Start_Time**.","enum","NA","NA","NONE"
"Death_Rate_Dependence","[link](../json/config-population-hiv_death_rate_dependence.json)","Determines how likely individuals are to die from natural, non-disease causes. **Enable_Natural_Mortality** must be set to 1. Possible values are:<br> <br> NOT_INITIALIZED<br> The daily mortality rate is 0, and no one dies from non-disease related causes.<br> NONDISEASE_MORTALITY_BY_AGE_AND_GENDER<br> The individual's age and gender are taken into account to determine the daily mortality rate.<br> NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER<br> Gender, age, and year, are all taken into account to determine the daily mortality rate. <br> <br> Properties, rates, and bin sizes can be set for non-disease mortality for each gender in the demographics file (see :ref:`demo-complexdistro` parameters).","enum","NA","NA","NOT_INITIALIZED"
"Default_Geography_Initial_Node_Population","[link](../json/config-population-hiv_default_geography_initial_node_population.json)","When using the built-in demographics for default geography, the initial number of individuals in each node. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. **Enable_Demographics_Builtin** must be set to true (1).","integer","0","1000000","1000"
"Demographics_Filenames","[link](../json/config-population-hiv_demographics_filenames.json)","An array of the paths to demographics files containing information on the identity and demographics of the region to simulate. The files must be in .json format. Note that this parameter is only required when **Enable_Demographics_Builtin** is set to 0.","array of strings","NA","NA","[]"
"Enable_Aging","[link](../json/config-population-hiv_enable_aging.json)","Controls whether or not individuals in a population age during the simulation. **Enable_Vital_Dynamics** must be set to true (1).","boolean","0","1","1"
"Enable_Birth","[link](../json/config-population-hiv_enable_birth.json)","Controls whether or not individuals will be added to the simulation by birth. **Enable_Vital_Dynamics** must be set to true (1). If you want new individuals to have the same intervention coverage as existing individuals, you must add a **BirthTriggeredIV** to the campaign file.","boolean","0","1","1"
"Enable_Demographics_Builtin","[link](../json/config-population-hiv_enable_demographics_builtin.json)","Controls whether or not built-in demographics for default geography will be used. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. Set to true (1) to define the initial population and number of nodes using **Default_Geography_Initial_Node_Population** and **Default_Geography_Torus_Size**. Set to false (0) to use demographics input files defined in **Demographics_Filenames**.","boolean","0","1","0"
"Enable_Demographics_Gender","[link](../json/config-population-hiv_enable_demographics_gender.json)","Controls whether or not gender ratios are drawn from a Gaussian distribution or a 50/50 draw. When set to 1 (true), the ratio of males to females is drawn from a Gaussian distribution with a mean of 0.5 and a standard deviation of 0.01. When set to 0 (false), the gender ratio is based on a 50/50 draw.","boolean","0","1","1"
"Enable_Demographics_Other","[link](../json/config-population-hiv_enable_demographics_other.json)","Controls whether or not other demographic factors are included in the simulation, such as the fraction of individuals above poverty, urban/rural characteristics, heterogeneous initial immunity, or risk. These factors are set in the demographics file.","boolean","0","1","0"
"Enable_Vital_Dynamics","[link](../json/config-population-hiv_enable_vital_dynamics.json)","Controls whether or not births and deaths occur in the simulation. Births and deaths must be individually enabled and set.","boolean","0","1","1"
"Minimum_Adult_Age_Years","[link](../json/config-population-hiv_minimum_adult_age_years.json)","The age, in years, after which an individual is considered an adult. **Individual_Sampling_Type** must be set to ADAPTED_SAMPLING_BY_AGE_GROUP.","float","0","3.40E+38","15"
"Population_Density_Infectivity_Correction","[link](../json/config-population-hiv_population_density_infectivity_correction.json)","Correction to alter infectivity by population density set in the **Population_Density_C50** parameter. Measured in people per square kilometer. <br> Possible values are:<br> <br> * CONSTANT_INFECTIVITY<br> * SATURATING_FUNCTION_OF_DENSITY<br> <br> .. note::<br> <br> Sparsely populated areas have a lower infectivity, while densely populated areas have a higher infectivity, which rises to saturate at the **Base_Infectivity** value.","enum","NA","NA","CONSTANT_INFECTIVITY"
"Population_Scale_Type","[link](../json/config-population-hiv_population_scale_type.json)","The method to use for scaling the initial population specified in the demographics input file.<br> Possible values are:<br> <br> USE_INPUT_FILE<br> Turns off population scaling and uses **InitialPopulation** in the demographics file (see :ref:`demo-nodeattributes` parameters).  <br> FIXED_SCALING<br> Enables **Base_Population_Scale_Factor**.","enum","NA","NA","USE_INPUT_FILE"
"Report_HIV_ByAgeAndGender_Add_Transmitters","[link](../json/config-population-hiv_report_hiv_byageandgender_add_transmitters.json)","When set to 1, the Transmitters column is included in the output report. For a given row, this value indicates how many individuals that have transmitted the disease meet the specifications of that row.","boolean","0","1","0"
"Report_HIV_ByAgeAndGender_Collect_Age_Bins_Data","[link](../json/config-population-hiv_report_hiv_byageandgender_collect_age_bins_data.json)","A list of bins used to stratify the report by age. Each value defines the minimum value (inclusive) of that bin, while the next value defines the maximum value (exclusive) of the bin. The values cannot be equal and must be listed in ascending order. Leave the array empty to not stratify the report by age. The maximum number of age bins is 100.","array of floats","-3.40282e+38","3.40282e+38","[]"
"Report_HIV_ByAgeAndGender_Collect_Gender_Data","[link](../json/config-population-hiv_report_hiv_byageandgender_collect_gender_data.json)","When set to 1, the output report will be stratified by gender.","boolean","0","1","0"
"x_Base_Population","[link](../json/config-population-hiv_x_base_population.json)","Scale factor for **InitialPopulation** in the demographics file (see :ref:`demo-nodeattributes` parameters). If **Population_Scale_Type** is set to FIXED_SCALING, the initial simulation population is uniformly scaled over the entire area to adjust for historical or future population density.","float","0","3.40E+38","1"
"x_Birth","[link](../json/config-population-hiv_x_birth.json)","Scale factor for birth rate, as provided by the demographics file (see :ref:`demo-nodeattributes` parameters). **Enable_Birth** must be set to 1.","float","0","3.40E+38","1"
