"Name","Example","Type","Min","Max","Default","Description"
"AgeDistribution","The following example shows at age distribution in which 25% of individuals are under age 5, 50% are between 5 and 20, and 25% are between 20 and 35.
[link](../json/demo-complexdistro-hiv_agedistribution.json)","json object","NA","NA","NA","The structure defining a complex age distribution. **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX."
"AxisNames","[link](../json/demo-complexdistro-hiv_axisnames.json)","array of strings","NA","NA","NA","An array of the names used for each axis of a complex distribution. The list below shows the axis names to use (in the order given) for each of the distribution types:<br> <br> MortalityDistribution<br> [""gender"", ""age""] **Death_Rate_Dependence** in the configuration file must be set to NONDISEASE_MORTALITY_BY_AGE_AND_GENDER (see :doc:`parameter-configuration-mortality` parameters). <br> MortalityDistributionMale<br> [""age"", ""year""] **Death_Rate_Dependence** must be set to NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER (see :doc:`parameter-configuration-mortality` parameters).<br> MortalityDistributionFemale<br> [""age"", ""year""] **Death_Rate_Dependence** must be set to NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER (see :doc:`parameter-configuration-mortality` parameters).<br> FertilityDistribution<br> Two options are available:<br> <br> * [""urban"", ""age""] **Birth_Rate_Dependence** in the configuratIon file must be set to INDIVIDUAL_PREGNANCIES_BY_URBAN_AND_AGE (see :doc:`parameter-configuration-population` parameters).<br> * [""age"", ""year""] **Birth_Rate_Dependence** must be set to INDIVIDUAL_PREGNANCIES_BY_AGE_AND_YEAR (see :doc:`parameter-configuration-population` parameters).<br> ImmunityDistribution<br> [""age""] <br> AgeDistribution<br> No axes."
"AxisScaleFactors","[link](../json/demo-complexdistro-hiv_axisscalefactors.json)","array of floats","3.40282e+038","-3.40282e+038","1","A list of the scale factors used to convert axis units to data measurements in a complex distribution. For example, 365 to convert daily mortality to annual mortality. The array must contain one factor for each axis."
"AxisUnits","[link](../json/demo-complexdistro-hiv_axisunits.json)","array of strings","NA","NA","NA","An array that describes the scale factors used to convert the units for the axes into the units expected by |EMOD_s|. For example, when age is provided in years but must be scaled to days. |EMOD_s| does not use this value; it is only informational."
"DistributionValues","The following example shows at age distribution in which 25% of individuals are under age 5, 50% are between 5 and 20, and 25% are between 20 and 35.
[link](../json/demo-complexdistro-hiv_distributionvalues.json)","array of floats","0","1","1","An array of values between 0 and 1 listed in ascending order that defines a complex age distribution. Each value represents the proportion of the population below that age and the difference between two successive values is the proportion of the population in the age bin defined in **ResultValues**. **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX (see :doc:`parameter-configuration-population` parameters)."
"FertilityDistribution","[link](../json/demo-complexdistro-hiv_fertilitydistribution.json)","json object","NA","NA","NA","The distribution of the fertility rate in the population. **Enable_Birth** in the configuration file must be set to 1 (see :doc:`parameter-configuration-population` parameters)."
"ImmunityDistribution","[link](../json/demo-complexdistro-hiv_immunitydistribution.json)","json object","NA","NA","NA","The structure defining a complex immunity distribution. **Immunity_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX (see :doc:`parameter-configuration-immunity` parameters)."
"MortalityDistribution","[link](../json/demo-complexdistro-hiv_mortalitydistribution.json)","json object","NA","NA","NA","The distribution of non-disease mortality for a population. **Death_Rate_Dependence** in the configuration file must be set to NONDISEASE_MORTALITY_BY_AGE_AND_GENDER or NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER (see :doc:`parameter-configuration-mortality` parameters).<br> <br> .. warning::<br> <br> Mortality is sampled every 30 days. To correctly attribute neonatal deaths to days 0-30, you must indicate that the threshold for the first age group in **PopulationGroups** is less than 30 days."
"NumDistributionAxes","[link](../json/demo-complexdistro-hiv_numdistributionaxes.json)","integer","1","NA","NA","The number of axes to use for a complex distribution. |EMOD_s| does not use this value; it is only informational."
"NumPopulationGroups","[link](../json/demo-complexdistro-hiv_numpopulationgroups.json)","array of integers","NA","NA","NA","An array of population groupings for each independent variable for a complex distribution. This variable defines the number of columns for each row in the population group table. The number of values in the array is often two, representing the values for gender and number of age bins. |EMOD_s| does not use this value; it is only informational."
