"Name","Example","Description","Type","Min","Max","Default"
"Age_of_First_Bin_Edge_Female","[link](../json/demo-pairing-hiv_age_of_first_bin_edge_female.json)","The maximum age for the first age bin when dividing the female population into age bins for pair formation.","integer","0","100","1"
"Age_of_First_Bin_Edge_Male","[link](../json/demo-pairing-hiv_age_of_first_bin_edge_male.json)","The maximum age for the first age bin when dividing the male population into age bins for pair formation.","integer","0","100","1"
"Assortivity","[link](../json/demo-pairing-hiv_assortivity.json)","The object that defines how people will preferentially form pairs based on their membership in different groups.","json object","NA","NA","NA"
"Extra_Relational_Rate_Ratio_Female","[link](../json/demo-pairing-hiv_extra_relational_rate_ratio_female.json)","For women, the rate ratio for having extra-relational sex for this relationship type, where the ratio is the event over the period of time defined in **Update_Period**.","integer","1","3.40282e+038","1"
"Extra_Relational_Rate_Ratio_Male","[link](../json/demo-pairing-hiv_extra_relational_rate_ratio_male.json)","For males, the rate ratio for having extra-relational sex for this relationship type, where the ratio is the event over the period of time defined in **Update_Period**.","integer","1","3.40282e+038","1"
"Formation_Rate_Constant","[link](../json/demo-pairing-hiv_formation_rate_constant.json)","If **Formation_Rate_Type** is set to CONSTANT, the number of new relationships per day for this relationship type.","float","0","1","0.001"
"Formation_Rate_Interpolated_Values","[link](../json/demo-pairing-hiv_formation_rate_interpolated_values.json)","The structure that contains two arrays of floats specifying **Times** and **Values** arrays that will be interpolated to provide the formation rate when **Formation_Rate_Type** is set to INTERPOLATED_VALUES. The years listed in **Times** must be in ascending order; the first year must be prior to the current year and if the last year is prior to the current year, the last value in **Values** will be used for the formation rate.","json object","NA","NA","NA"
"Formation_Rate_Sigmoid","[link](../json/demo-pairing-hiv_formation_rate_sigmoid.json)","The structure that determines the shape of the sigmoidal curve for pair formation when **Formation_Rate_Type** is set to SIGMOID_VARIABLE_WIDTH_HEIGHT. Include the following parameters:<br> <br> Min<br> The minimum asymptote (0 to 1, default 1).<br> Max<br> The maximum asymptote (0 to 1, default 1).<br> Mid<br> The year of the inflection point (0 to 100000, default 2000).<br> Rate<br> The rate (proportional to the slope by a factor of 4) at the inflection point (-100 to 100, default 1).","json object","NA","NA","NA"
"Formation_Rate_Type","[link](../json/demo-pairing-hiv_formation_rate_type.json)","The type of functional form that describes that pair formation rate. Possible values are:<br> <br> CONSTANT<br> The rate is a constant value.<br> SIGMOID_VARIABLE_WIDTH_HEIGHT<br> The rate is a sigmoidal curve.<br> INTERPOLATED_VALUES<br> The rate is interpolated between a set of supplied values.","enum","NA","NA","CONSTANT"
"Joint_Probabilities","[link](../json/demo-pairing-hiv_joint_probabilities.json)","The relative preference of members of one age bin to form relationships with members of another age bin. The columns represent female bins and rows represent male bins.","matrix of floats","0","3.40282e+038, ","0"
"Number_Age_Bins_Female","[link](../json/demo-pairing-hiv_number_age_bins_female.json)","The number of age bins to divide the female population into for pair formation.","integer","1","1000","1"
"Number_Age_Bins_Male","[link](../json/demo-pairing-hiv_number_age_bins_male.json)","The number of age bins to divide the male population into for pair formation.","integer","1","1000","1"
"Update_Period","[link](../json/demo-pairing-hiv_update_period.json)","The period, in days, to wait before an individual is eligible to seek out new relationships.","float","0","3.40282e+38","0"
"Years_Between_Bin_Edges_Female","[link](../json/demo-pairing-hiv_years_between_bin_edges_female.json)","For the female population, the number of years covered in each age bin.","float","0.1","100","1"
"Years_Between_Bin_Edges_Male","[link](../json/demo-pairing-hiv_years_between_bin_edges_male.json)","For the male population, the number of years covered in each age bin.","integer","0.1","100","1"
