"Name","Example","Description","Type","Min","Max","Default"
"Coital_Act_Rate","[link](../json/demo-relationship-hiv_coital_act_rate.json)","The probability of a coital act occurring at each time step.","float","FLT_EPSILON","20","0.33"
"Condom_Usage_Probability","[link](../json/demo-relationship-hiv_condom_usage_probability.json)","The structure that determines the probability of condom usage over time in a relationship type. The probability follows a sigmoidal curve, as defined by the following parameters:<br> <br> Min<br> The minimum asymptote (0 to 1, default 1).<br> Max<br> The maximum asymptote (0 to 1, default 1).<br> Mid<br> The year of the inflection point (0 to 3.40282e+038, default 2000).<br> Rate<br> The rate proportional to the slope at the inflection point (-100 to 100, default is 1).","json object","NA","NA","NA"
"Duration_Weibull_Heterogeneity","[link](../json/demo-relationship-hiv_duration_weibull_heterogeneity.json)","Inverse of the Weibull shape (1/kappa) parameter of relationship duration in years.","float","0","100","1"
"Duration_Weibull_Scale","[link](../json/demo-relationship-hiv_duration_weibull_scale.json)","Weibull scale parameter of relationship duration in years.","float","0","3.40282e+038","1"
"Max","[link](../json/demo-relationship-hiv_max.json)","The maximum asymptote (unit of probability) for sigmoidal curve. This parameter is included in the sigmoid utility class, which is currently used with the HIV sim type for the Formation_Rate_Sigmoid and Condom_Usage_Probability parameters.","float","0","1","1"
"Mid","[link](../json/demo-relationship-hiv_mid.json)","The year of the inflection point for sigmoidal curve. This parameter is included in the sigmoid utility class, which is currently used with the HIV sim type for the Formation_Rate_Sigmoid and Condom_Usage_Probability parameters.","float","0","3.40282e+038","2000"
"Migration_Actions","[link](../json/demo-relationship-hiv_migration_actions.json)","A list of what relationship action to take when one member of the relationship migrates to another node. The order in which they are listed corresponds to the probability values in **Migration_Actions_Distributions**. **Migration_Model** in the configuration file must be set to FIXED_RATE_MIGRATION. Possible values are:<br> <br> <br> Terminate<br> Relationship is stopped. The individual's relationship count is decremented so they can enter new relationships.<br> Pause<br> Relationship is put on hold. The couple is not in the same node so they cannot consummate their relationship, but the individual's relationship count is not decremented since they are still in the relationship. The relationship can resume if both partners are in the same node, which need not be their home node. Relationship duration timers continue and relationship could terminate while paused.<br> Migrate<br> Partners in the relationship migrate simultaneously and continue the relationship. Person migrating tells their partner to cancel all of their relationships and migrate during the current time step. This avoids a cascade of people migration.","array of enums","NA","NA","NA"
"Migration_Actions_Distribution","[link](../json/demo-relationship-hiv_migration_actions_distribution.json)","A list of the proportion of relationships that take a given action when one member of the relationship migrates. The sum of all values must be 1 and the order of the list corresponds to the order in **Migration_Actions**. **Migration_Model** in the configuration file must be set to FIXED_RATE_MIGRATION.","array of floats","0","1","NA"
"Min","[link](../json/demo-relationship-hiv_min.json)","The minimum asymptote (unit of probability) for sigmoidal curve. This parameter is included in the sigmoid utility class, which is currently used with the HIV sim type for the Formation_Rate_Sigmoid and Condom_Usage_Probability parameters.","float","0","1","1"
"Rate","[link](../json/demo-relationship-hiv_rate.json)","The rate (probability/year) proportional to the slope at the inflection point of sigmoidal curve. This parameter is included in the sigmoid utility class, which is currently used with the HIV sim type for the Formation_Rate_Sigmoid and Condom_Usage_Probability parameters.","float","-100","100","1"
"Relationship_Parameters","[link](../json/demo-relationship-hiv_relationship_parameters.json)","The structure that determines basic aspects of the relationship, such as duration, condom usage, or how to handle migration.","json object","NA","NA","NA"
